[2024-12-04 00:52:36,444] 0	T_sample 1.06	T_update 0.48	ETA 355 days, 18:51:28	expert_R_avg 0.4396 [0.0000,0.1307,0.0000,0.1307,0.7486]	expert_R_range (0.3677, 0.5310)	eps_len 14.16
[2024-12-04 00:52:37,808] 1	T_sample 1.05	T_update 0.29	ETA 311 days, 5:35:18	expert_R_avg 0.4489 [0.0000,0.1496,0.0000,0.1496,0.7481]	expert_R_range (0.3667, 0.5298)	eps_len 13.12
[2024-12-04 00:52:39,226] 2	T_sample 1.10	T_update 0.30	ETA 323 days, 21:21:45	expert_R_avg 0.4407 [0.0000,0.1332,0.0000,0.1332,0.7482]	expert_R_range (0.3667, 0.5286)	eps_len 12.65
[2024-12-04 00:52:40,680] 3	T_sample 1.14	T_update 0.30	ETA 332 days, 6:48:11	expert_R_avg 0.4452 [0.0000,0.1424,0.0000,0.1424,0.7479]	expert_R_range (0.3668, 0.5290)	eps_len 14.54
[2024-12-04 00:52:42,181] 4	T_sample 1.17	T_update 0.31	ETA 343 days, 10:32:58	expert_R_avg 0.4442 [0.0000,0.1406,0.0000,0.1406,0.7478]	expert_R_range (0.3672, 0.5291)	eps_len 13.84
[2024-12-04 00:52:43,826] 5	T_sample 1.30	T_update 0.32	ETA 376 days, 5:29:11	expert_R_avg 0.4311 [0.0000,0.1148,0.0000,0.1148,0.7473]	expert_R_range (0.3671, 0.5290)	eps_len 13.57
[2024-12-04 00:52:45,371] 6	T_sample 1.21	T_update 0.32	ETA 353 days, 14:47:57	expert_R_avg 0.4378 [0.0000,0.1283,0.0000,0.1283,0.7474]	expert_R_range (0.3666, 0.5283)	eps_len 13.92
[2024-12-04 00:52:46,819] 7	T_sample 1.14	T_update 0.29	ETA 331 days, 6:02:16	expert_R_avg 0.4387 [0.0000,0.1303,0.0000,0.1303,0.7470]	expert_R_range (0.3669, 0.5279)	eps_len 14.85
[2024-12-04 00:52:48,423] 8	T_sample 1.27	T_update 0.32	ETA 366 days, 20:21:40	expert_R_avg 0.4410 [0.0000,0.1353,0.0000,0.1353,0.7467]	expert_R_range (0.3663, 0.5275)	eps_len 13.85
[2024-12-04 00:52:49,962] 9	T_sample 1.22	T_update 0.30	ETA 352 days, 10:21:07	expert_R_avg 0.4339 [0.0000,0.1211,0.0000,0.1212,0.7466]	expert_R_range (0.3668, 0.5284)	eps_len 12.70
[2024-12-04 00:52:51,495] 10	T_sample 1.21	T_update 0.30	ETA 350 days, 21:43:40	expert_R_avg 0.4417 [0.0000,0.1369,0.0000,0.1369,0.7464]	expert_R_range (0.3663, 0.5297)	eps_len 13.13
[2024-12-04 00:52:53,154] 11	T_sample 1.33	T_update 0.31	ETA 379 days, 22:48:07	expert_R_avg 0.4338 [0.0000,0.1215,0.0000,0.1215,0.7461]	expert_R_range (0.3652, 0.5287)	eps_len 13.92
[2024-12-04 00:52:54,764] 12	T_sample 1.29	T_update 0.31	ETA 368 days, 16:15:51	expert_R_avg 0.4460 [0.0000,0.1459,0.0000,0.1459,0.7460]	expert_R_range (0.3667, 0.5289)	eps_len 13.88
[2024-12-04 00:52:56,292] 13	T_sample 1.20	T_update 0.31	ETA 349 days, 8:45:16	expert_R_avg 0.4397 [0.0000,0.1337,0.0000,0.1337,0.7458]	expert_R_range (0.3660, 0.5287)	eps_len 13.46
[2024-12-04 00:52:57,875] 14	T_sample 1.27	T_update 0.30	ETA 362 days, 11:38:47	expert_R_avg 0.4343 [0.0000,0.1231,0.0000,0.1231,0.7454]	expert_R_range (0.3666, 0.5283)	eps_len 14.93
[2024-12-04 00:52:59,323] 15	T_sample 1.13	T_update 0.30	ETA 330 days, 14:02:27	expert_R_avg 0.4345 [0.0000,0.1237,0.0000,0.1237,0.7454]	expert_R_range (0.3645, 0.5282)	eps_len 14.02
[2024-12-04 00:53:00,864] 16	T_sample 1.23	T_update 0.30	ETA 352 days, 20:19:36	expert_R_avg 0.4364 [0.0000,0.1274,0.0000,0.1274,0.7455]	expert_R_range (0.3655, 0.5286)	eps_len 13.76
[2024-12-04 00:53:02,436] 17	T_sample 1.26	T_update 0.29	ETA 359 days, 19:25:18	expert_R_avg 0.4456 [0.0000,0.1462,0.0000,0.1462,0.7451]	expert_R_range (0.3658, 0.5283)	eps_len 12.99
[2024-12-04 00:53:03,853] 18	T_sample 1.11	T_update 0.30	ETA 324 days, 6:48:53	expert_R_avg 0.4448 [0.0000,0.1449,0.0000,0.1449,0.7447]	expert_R_range (0.3656, 0.5281)	eps_len 13.33
[2024-12-04 00:53:05,327] 19	T_sample 1.17	T_update 0.29	ETA 337 days, 5:42:00	expert_R_avg 0.4252 [0.0000,0.1058,0.0000,0.1058,0.7446]	expert_R_range (0.3647, 0.5276)	eps_len 13.34
[2024-12-04 00:53:06,985] 20	T_sample 1.34	T_update 0.30	ETA 379 days, 6:52:07	expert_R_avg 0.4358 [0.0000,0.1272,0.0000,0.1272,0.7444]	expert_R_range (0.3659, 0.5272)	eps_len 13.48
[2024-12-04 00:53:08,575] 21	T_sample 1.26	T_update 0.31	ETA 363 days, 14:10:26	expert_R_avg 0.4302 [0.0000,0.1163,0.0000,0.1163,0.7440]	expert_R_range (0.3653, 0.5267)	eps_len 13.44
[2024-12-04 00:53:10,143] 22	T_sample 1.26	T_update 0.30	ETA 359 days, 10:20:23	expert_R_avg 0.4422 [0.0000,0.1404,0.0000,0.1404,0.7440]	expert_R_range (0.3641, 0.5282)	eps_len 13.91
[2024-12-04 00:53:11,732] 23	T_sample 1.27	T_update 0.30	ETA 363 days, 14:33:31	expert_R_avg 0.4362 [0.0000,0.1286,0.0000,0.1286,0.7438]	expert_R_range (0.3652, 0.5270)	eps_len 14.48
[2024-12-04 00:53:13,444] 24	T_sample 1.40	T_update 0.29	ETA 392 days, 8:27:40	expert_R_avg 0.4282 [0.0000,0.1128,0.0000,0.1128,0.7436]	expert_R_range (0.3628, 0.5271)	eps_len 13.81
