[2024-07-05 16:26:44,895] 0	T_sample 37.83	T_update 8.34	ETA 1 day, 1:38:06	expert_R_avg 0.3188 [0.2798,0.3330,0.2323,0.4995,0.9418]	expert_R_range (0.0554, 0.9215)	eps_len 15.70
[2024-07-05 16:27:30,947] 1	T_sample 38.01	T_update 7.84	ETA 1 day, 1:26:52	expert_R_avg 0.3171 [0.2782,0.3345,0.2300,0.4960,0.9416]	expert_R_range (0.0537, 0.9215)	eps_len 16.08
[2024-07-05 16:28:14,982] 2	T_sample 36.13	T_update 7.75	ETA 1 day, 0:20:29	expert_R_avg 0.3151 [0.2785,0.3341,0.2260,0.4934,0.9415]	expert_R_range (0.0537, 0.9215)	eps_len 16.51
[2024-07-05 16:28:58,770] 3	T_sample 35.89	T_update 7.74	ETA 1 day, 0:11:28	expert_R_avg 0.3126 [0.2770,0.3348,0.2230,0.4855,0.9415]	expert_R_range (0.0503, 0.9215)	eps_len 17.13
[2024-07-05 16:29:34,493] 4	T_sample 27.81	T_update 7.77	ETA 19:43:03	expert_R_avg 0.3089 [0.2746,0.3350,0.2185,0.4761,0.9414]	expert_R_range (0.0503, 0.9217)	eps_len 17.79
[2024-07-05 16:30:08,845] 5	T_sample 26.62	T_update 7.57	ETA 18:56:13	expert_R_avg 0.3074 [0.2743,0.3360,0.2169,0.4688,0.9413]	expert_R_range (0.0503, 0.9217)	eps_len 18.34
[2024-07-05 16:30:41,563] 6	T_sample 25.22	T_update 7.35	ETA 18:02:01	expert_R_avg 0.3053 [0.2737,0.3367,0.2141,0.4605,0.9413]	expert_R_range (0.0503, 0.9217)	eps_len 18.94
[2024-07-05 16:31:14,932] 7	T_sample 25.75	T_update 7.51	ETA 18:24:11	expert_R_avg 0.3038 [0.2736,0.3374,0.2125,0.4532,0.9413]	expert_R_range (0.0503, 0.9258)	eps_len 19.51
[2024-07-05 16:31:48,066] 8	T_sample 25.49	T_update 7.53	ETA 18:15:40	expert_R_avg 0.3024 [0.2730,0.3377,0.2110,0.4469,0.9413]	expert_R_range (0.0503, 0.9258)	eps_len 20.05
[2024-07-05 16:32:21,735] 9	T_sample 25.89	T_update 7.65	ETA 18:32:32	expert_R_avg 0.3016 [0.2728,0.3383,0.2106,0.4409,0.9412]	expert_R_range (0.0503, 0.9258)	eps_len 20.58
[2024-07-05 16:32:56,891] 10	T_sample 27.20	T_update 7.84	ETA 19:21:27	expert_R_avg 0.3005 [0.2727,0.3385,0.2095,0.4352,0.9412]	expert_R_range (0.0503, 0.9258)	eps_len 21.12
[2024-07-05 16:33:30,421] 11	T_sample 25.74	T_update 7.65	ETA 18:26:23	expert_R_avg 0.2997 [0.2729,0.3385,0.2086,0.4300,0.9411]	expert_R_range (0.0503, 0.9258)	eps_len 21.61
[2024-07-05 16:34:04,924] 12	T_sample 26.67	T_update 7.70	ETA 18:58:21	expert_R_avg 0.2991 [0.2729,0.3387,0.2083,0.4253,0.9410]	expert_R_range (0.0503, 0.9258)	eps_len 22.06
[2024-07-05 16:34:38,056] 13	T_sample 25.49	T_update 7.53	ETA 18:13:03	expert_R_avg 0.2984 [0.2728,0.3391,0.2078,0.4211,0.9409]	expert_R_range (0.0503, 0.9258)	eps_len 22.53
[2024-07-05 16:35:11,545] 14	T_sample 25.62	T_update 7.74	ETA 18:23:52	expert_R_avg 0.2982 [0.2730,0.3394,0.2079,0.4173,0.9409]	expert_R_range (0.0503, 0.9258)	eps_len 22.95
[2024-07-05 16:35:45,282] 15	T_sample 25.90	T_update 7.70	ETA 18:31:02	expert_R_avg 0.2976 [0.2730,0.3395,0.2074,0.4138,0.9408]	expert_R_range (0.0503, 0.9258)	eps_len 23.38
[2024-07-05 16:36:18,736] 16	T_sample 25.69	T_update 7.64	ETA 18:21:26	expert_R_avg 0.2975 [0.2734,0.3395,0.2076,0.4111,0.9407]	expert_R_range (0.0503, 0.9258)	eps_len 23.78
[2024-07-05 16:36:51,519] 17	T_sample 25.01	T_update 7.66	ETA 17:59:19	expert_R_avg 0.2972 [0.2737,0.3395,0.2074,0.4082,0.9406]	expert_R_range (0.0503, 0.9258)	eps_len 24.17
[2024-07-05 16:37:24,071] 18	T_sample 24.71	T_update 7.73	ETA 17:51:05	expert_R_avg 0.2970 [0.2738,0.3394,0.2074,0.4053,0.9405]	expert_R_range (0.0503, 0.9258)	eps_len 24.54
[2024-07-05 16:37:57,060] 19	T_sample 25.14	T_update 7.73	ETA 18:04:53	expert_R_avg 0.2968 [0.2741,0.3392,0.2072,0.4033,0.9404]	expert_R_range (0.0503, 0.9258)	eps_len 24.92
[2024-07-05 16:38:30,637] 20	T_sample 25.77	T_update 7.69	ETA 18:23:33	expert_R_avg 0.2964 [0.2744,0.3390,0.2067,0.4012,0.9403]	expert_R_range (0.0503, 0.9258)	eps_len 25.30
[2024-07-05 16:39:03,795] 21	T_sample 25.47	T_update 7.57	ETA 18:09:04	expert_R_avg 0.2962 [0.2745,0.3389,0.2067,0.3990,0.9402]	expert_R_range (0.0503, 0.9258)	eps_len 25.67
[2024-07-05 16:39:36,367] 22	T_sample 24.78	T_update 7.69	ETA 17:49:44	expert_R_avg 0.2961 [0.2749,0.3387,0.2068,0.3972,0.9401]	expert_R_range (0.0488, 0.9258)	eps_len 26.03
[2024-07-05 16:40:08,957] 23	T_sample 24.95	T_update 7.54	ETA 17:49:57	expert_R_avg 0.2961 [0.2752,0.3386,0.2070,0.3955,0.9400]	expert_R_range (0.0488, 0.9258)	eps_len 26.38
[2024-07-05 16:40:41,572] 24	T_sample 24.88	T_update 7.62	ETA 17:49:32	expert_R_avg 0.2960 [0.2755,0.3384,0.2070,0.3938,0.9398]	expert_R_range (0.0488, 0.9258)	eps_len 26.74
[2024-07-05 16:41:14,363] 25	T_sample 24.98	T_update 7.70	ETA 17:54:58	expert_R_avg 0.2958 [0.2757,0.3382,0.2068,0.3918,0.9397]	expert_R_range (0.0488, 0.9258)	eps_len 27.09
[2024-07-05 16:41:47,523] 26	T_sample 25.34	T_update 7.71	ETA 18:06:46	expert_R_avg 0.2957 [0.2761,0.3381,0.2069,0.3902,0.9396]	expert_R_range (0.0488, 0.9258)	eps_len 27.44
[2024-07-05 16:42:20,197] 27	T_sample 24.85	T_update 7.71	ETA 17:50:14	expert_R_avg 0.2956 [0.2762,0.3378,0.2070,0.3882,0.9394]	expert_R_range (0.0488, 0.9258)	eps_len 27.80
[2024-07-05 16:42:53,290] 28	T_sample 25.30	T_update 7.69	ETA 18:03:44	expert_R_avg 0.2954 [0.2763,0.3375,0.2069,0.3864,0.9393]	expert_R_range (0.0488, 0.9271)	eps_len 28.16
[2024-07-05 16:43:26,045] 29	T_sample 24.87	T_update 7.78	ETA 17:52:08	expert_R_avg 0.2953 [0.2766,0.3374,0.2070,0.3849,0.9391]	expert_R_range (0.0476, 0.9271)	eps_len 28.51
[2024-07-05 16:43:58,472] 30	T_sample 24.78	T_update 7.53	ETA 17:40:28	expert_R_avg 0.2953 [0.2768,0.3372,0.2073,0.3831,0.9389]	expert_R_range (0.0476, 0.9282)	eps_len 28.86
[2024-07-05 16:44:31,121] 31	T_sample 24.94	T_update 7.59	ETA 17:47:10	expert_R_avg 0.2952 [0.2770,0.3370,0.2073,0.3818,0.9388]	expert_R_range (0.0476, 0.9282)	eps_len 29.21
[2024-07-05 16:45:03,487] 32	T_sample 24.59	T_update 7.67	ETA 17:37:30	expert_R_avg 0.2950 [0.2772,0.3367,0.2072,0.3798,0.9386]	expert_R_range (0.0476, 0.9282)	eps_len 29.58
[2024-07-05 16:45:36,691] 33	T_sample 25.53	T_update 7.57	ETA 18:04:38	expert_R_avg 0.2948 [0.2773,0.3364,0.2070,0.3784,0.9384]	expert_R_range (0.0476, 0.9282)	eps_len 29.93
[2024-07-05 16:46:09,298] 34	T_sample 24.73	T_update 7.78	ETA 17:44:29	expert_R_avg 0.2946 [0.2775,0.3362,0.2069,0.3766,0.9382]	expert_R_range (0.0476, 0.9282)	eps_len 30.30
[2024-07-05 16:46:43,029] 35	T_sample 26.01	T_update 7.61	ETA 18:20:31	expert_R_avg 0.2943 [0.2775,0.3359,0.2068,0.3749,0.9380]	expert_R_range (0.0476, 0.9282)	eps_len 30.65
[2024-07-05 16:47:16,477] 36	T_sample 25.74	T_update 7.59	ETA 18:10:26	expert_R_avg 0.2940 [0.2776,0.3356,0.2066,0.3733,0.9378]	expert_R_range (0.0476, 0.9282)	eps_len 31.02
[2024-07-05 16:47:49,072] 37	T_sample 24.83	T_update 7.65	ETA 17:42:15	expert_R_avg 0.2937 [0.2777,0.3352,0.2064,0.3715,0.9376]	expert_R_range (0.0476, 0.9282)	eps_len 31.39
[2024-07-05 16:48:23,230] 38	T_sample 26.30	T_update 7.74	ETA 18:32:48	expert_R_avg 0.2936 [0.2777,0.3349,0.2064,0.3699,0.9374]	expert_R_range (0.0421, 0.9282)	eps_len 31.75
[2024-07-05 16:48:55,882] 39	T_sample 24.91	T_update 7.63	ETA 17:42:59	expert_R_avg 0.2933 [0.2778,0.3346,0.2062,0.3683,0.9372]	expert_R_range (0.0421, 0.9282)	eps_len 32.14
[2024-07-05 16:49:29,315] 40	T_sample 25.49	T_update 7.83	ETA 18:07:49	expert_R_avg 0.2930 [0.2778,0.3343,0.2060,0.3666,0.9370]	expert_R_range (0.0421, 0.9282)	eps_len 32.51
[2024-07-05 16:50:02,447] 41	T_sample 25.18	T_update 7.82	ETA 17:56:55	expert_R_avg 0.2927 [0.2778,0.3339,0.2058,0.3650,0.9368]	expert_R_range (0.0421, 0.9282)	eps_len 32.89
[2024-07-05 16:50:36,744] 42	T_sample 26.27	T_update 7.90	ETA 18:34:21	expert_R_avg 0.2924 [0.2779,0.3336,0.2057,0.3633,0.9366]	expert_R_range (0.0421, 0.9282)	eps_len 33.28
[2024-07-05 16:51:09,951] 43	T_sample 25.55	T_update 7.55	ETA 17:59:09	expert_R_avg 0.2921 [0.2779,0.3333,0.2054,0.3615,0.9364]	expert_R_range (0.0421, 0.9282)	eps_len 33.68
[2024-07-05 16:51:43,442] 44	T_sample 25.69	T_update 7.69	ETA 18:07:38	expert_R_avg 0.2917 [0.2779,0.3330,0.2051,0.3597,0.9361]	expert_R_range (0.0421, 0.9282)	eps_len 34.08
[2024-07-05 16:52:16,890] 45	T_sample 25.50	T_update 7.82	ETA 18:05:11	expert_R_avg 0.2913 [0.2780,0.3327,0.2047,0.3578,0.9359]	expert_R_range (0.0421, 0.9282)	eps_len 34.49
[2024-07-05 16:52:50,148] 46	T_sample 25.52	T_update 7.62	ETA 17:58:54	expert_R_avg 0.2909 [0.2780,0.3324,0.2043,0.3557,0.9357]	expert_R_range (0.0421, 0.9282)	eps_len 34.91
[2024-07-05 16:53:23,970] 47	T_sample 26.02	T_update 7.69	ETA 18:16:50	expert_R_avg 0.2906 [0.2780,0.3320,0.2040,0.3539,0.9355]	expert_R_range (0.0421, 0.9282)	eps_len 35.34
[2024-07-05 16:53:57,507] 48	T_sample 25.78	T_update 7.65	ETA 18:07:02	expert_R_avg 0.2902 [0.2781,0.3317,0.2037,0.3520,0.9352]	expert_R_range (0.0421, 0.9282)	eps_len 35.76
[2024-07-05 16:54:31,124] 49	T_sample 25.73	T_update 7.77	ETA 18:08:46	expert_R_avg 0.2898 [0.2781,0.3314,0.2033,0.3502,0.9350]	expert_R_range (0.0421, 0.9282)	eps_len 36.19
[2024-07-05 16:55:04,350] 50	T_sample 25.41	T_update 7.67	ETA 17:54:33	expert_R_avg 0.2895 [0.2782,0.3311,0.2030,0.3483,0.9347]	expert_R_range (0.0421, 0.9282)	eps_len 36.63
[2024-07-05 16:55:37,712] 51	T_sample 25.65	T_update 7.60	ETA 17:59:26	expert_R_avg 0.2890 [0.2783,0.3308,0.2025,0.3462,0.9345]	expert_R_range (0.0421, 0.9282)	eps_len 37.08
[2024-07-05 16:56:11,513] 52	T_sample 26.04	T_update 7.63	ETA 18:12:47	expert_R_avg 0.2887 [0.2784,0.3305,0.2021,0.3443,0.9343]	expert_R_range (0.0421, 0.9282)	eps_len 37.53
